OBJECTID_1,LOCATION,ROADNAME,Shape_Length
1,Gisborne District [Waerengaahika-Matawai],Matawai Road,210.831260566514
2,Gisborne District [Waerengaahika-Matawai],Matawai Road,509.626799441593
3,Gisborne District [Waerengaahika-Matawai],Matawai Road,4204.93432357884
4,Gisborne District [Waerengaahika-Matawai],Matawai Road,2372.21819432373
5,Gisborne District [Matawai],Te Wera Road,373.299706637381
6,Gisborne District [Matawai],Te Wera Road,616.57743831892
7,Gisborne District [Matawai],Te Wera Road,4681.09597731627
8,Gisborne District [Matawai],Te Wera Road,4911.84022395926
9,Gisborne District [Matawai],Te Wera Road,2077.33521614777
10,Gisborne District [Wharekopae],Tahora Road,112.130413092904
11,Gisborne District [Wharekopae],Tahora Road,5049.69967355275
12,Gisborne District [Wharekopae],Tahora Road,3820.81552913939
13,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,419.639070130092
14,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,8061.27669512588
15,Gisborne District [Wharekopae],Tahora Road,1351.69890942421
16,Gisborne District [Wharekopae],Tahora Road,4792.6577164341
17,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,3565.28243652684
18,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,2727.3517559066
19,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,2625.80985925402
20,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,4030.72975865149
21,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,196.321535155015
22,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,2572.5265157574
23,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,590.75270978858
24,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,767.053909065891
25,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,1416.53627396234
26,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,3406.95532197179
27,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,140.181078782856
28,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,670.569204883364
29,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,1089.19484544801
30,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,2786.81945431587
31,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,843.882128389992
32,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,816.256089155839
33,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,2143.94032023201
34,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,1788.84280603994
35,Gisborne District [Makauri-Waerengaahika],Tucker Road,350.752318124116
36,Gisborne District [Makauri-Waerengaahika],Tucker Road,798.902815580604
37,Gisborne District [Makauri],Pilmer Road,573.221828939633
38,Gisborne District [Makauri],Pilmer Road,350.552328235788
39,Gisborne District [Patutahi-Tiniroto],Tiniroto Road,432.222445312964
40,Gisborne District [Patutahi],Kaimoe Road,1210.70973601813
41,Gisborne District [Makauri],Pilmer Road,659.899473566934
42,Gisborne District [Makaraka],Makaraka Road,59.0128662070026
43,Gisborne District [Patutahi-Tiniroto],Tiniroto Road,633.305279315373
44,Gisborne District [Patutahi-Tiniroto],Tiniroto Road,615.652329483098
45,Gisborne District [Matawhero-Waerengaahika],Bloomfield Road,496.559866980162
46,Gisborne District [Riverdale-Makauri],Nelson Road,1434.87952368922
47,Gisborne District [Makaraka],Farmer Road,711.47412808267
48,Gisborne District [Makaraka-Waerengaahika],Bushmere Road,653.333640685709
49,Gisborne District [Riverdale-Makauri],Nelson Road,33.9355905687817
50,Gisborne District [Riverdale-Makauri],Nelson Road,214.636187668487
51,Gisborne District [Riverdale-Makauri],Nelson Road,543.991517418503
52,Gisborne District [Riverdale-Makauri],Nelson Road,279.571451989192
53,Gisborne District [Riverdale-Makauri],Nelson Road,59.5512096702956
54,Gisborne District [Riverdale-Makauri],Nelson Road,130.908081584276
55,Gisborne District [Riverdale-Makauri],Nelson Road,18.7360920809863
56,Gisborne District [Riverdale-Makauri],Nelson Road,142.805441334768
57,Gisborne District [Riverdale-Makauri],Nelson Road,362.153699249864
58,Gisborne District [Whataupoko-Riverdale],Stout Street,213.950853184413
59,Gisborne District [Whataupoko-Riverdale],Stout Street,167.507382289123
60,Gisborne District [Whataupoko-Riverdale],Stout Street,97.7175015180102
61,Gisborne District [Whataupoko-Riverdale],Stout Street,45.7204957089461
62,Gisborne District [Whataupoko-Riverdale],Stout Street,64.740681245922
63,Gisborne District [Whataupoko-Riverdale],Stout Street,246.209092426329
64,Gisborne District [Whataupoko-Riverdale],Stout Street,38.7536067880149
65,Gisborne District [Whataupoko-Riverdale],Stout Street,63.4656527429443
66,Gisborne District [Whataupoko-Riverdale],Stout Street,122.225368877057
67,Gisborne District [Whataupoko-Riverdale],Stout Street,103.772153541865
68,Gisborne District [Patutahi-Tiniroto],Tiniroto Road,1450.14166274975
69,Gisborne District [Whataupoko-Riverdale],Stout Street,125.419864402546
70,Gisborne District [Whataupoko-Riverdale],Stout Street,221.149055246759
71,Gisborne District [Matawhero-Bartletts],Wharerata Road,253.483044427233
72,Gisborne District [Whataupoko-Riverdale],Stout Street,114.789608166981
73,Gisborne District [Whataupoko-Riverdale],Stout Street,116.738447347767
74,Gisborne District [Whataupoko-Riverdale],Stout Street,49.3154238509147
75,Gisborne District [Whataupoko-Riverdale],Stout Street,74.2627981856767
76,Gisborne District [Matawhero-Waerengaahika],Bloomfield Road,1578.88970697877
77,Gisborne District [Matawhero-Bartletts],Wharerata Road,669.020323340073
78,Gisborne District [Whataupoko-Riverdale],Stout Street,174.673628361392
79,Gisborne District [Whataupoko-Riverdale],Stout Street,177.70738808479
80,Gisborne District [Whataupoko-Riverdale],Stout Street,68.5199533616086
81,Gisborne District [Whataupoko-Riverdale],Stout Street,153.207649264802
82,Gisborne District [Whataupoko-Riverdale],Stout Street,221.786875959497
83,Gisborne District [Whataupoko-Riverdale],Stout Street,221.030134245849
84,Gisborne District [Whataupoko-Riverdale],Stout Street,135.299138618733
85,Gisborne District [Whataupoko-Riverdale],Stout Street,138.115329990616
86,Gisborne District [Whataupoko],Stafford Street,68.9800661860321
87,DERBY ST - STAFFORD ST,Accessway,117.19748726824
88,Gisborne District [Gisborne-Awapuni],Grey Street,124.754137360566
89,Gisborne District [Gisborne-Awapuni],Grey Street,92.3614039480941
90,Gisborne District [Gisborne-Awapuni],Grey Street,90.818035805652
91,Gisborne District [Gisborne-Awapuni],Grey Street,72.6393320063486
92, , ,280.613163018695
93, , ,1847.08905068783
94, , ,88.9481788457845
95,Gisborne District [Matawai],Te Wera Road,575.972072897885
96,Gisborne District [Patutahi-Wharekopae],Wharekopae Road,5096.88647622284
97, , ,178.776400920102
